country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","12-09-2025 14:00:00",25.251013,86.989001,NH3,3,7,4
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","12-09-2025 14:00:00",25.251013,86.989001,SO2,50,63,56
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","12-09-2025 14:00:00",25.265194,87.012947,NH3,2,5,4
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","12-09-2025 14:00:00",25.265194,87.012947,OZONE,9,31,22
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","12-09-2025 14:00:00",25.204762,85.514960,PM10,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","12-09-2025 14:00:00",25.204762,85.514960,NH3,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","12-09-2025 14:00:00",25.204762,85.514960,CO,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","12-09-2025 14:00:00",25.567520,83.966379,NO2,5,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","12-09-2025 14:00:00",25.567520,83.966379,NH3,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","12-09-2025 14:00:00",25.7808257,84.7446768,PM2.5,27,297,125
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","12-09-2025 14:00:00",14.465052,78.824187,PM10,64,91,75
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","12-09-2025 14:00:00",16.9872867,81.7363176,NH3,2,3,2
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","12-09-2025 14:00:00",13.67,79.35,SO2,3,4,3
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-09-2025 14:00:00",13.615387,79.409230,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-09-2025 14:00:00",13.615387,79.409230,OZONE,30,31,30
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","12-09-2025 14:00:00",16.536107,80.594233,PM2.5,63,153,81
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","12-09-2025 14:00:00",16.536107,80.594233,NO2,22,22,22
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","12-09-2025 14:00:00",26.0881305,87.93840336,NH3,3,3,3
