location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.5,"ppb","2025-09-01T01:15:00Z","2025-09-01T06:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.59,"ppb","2025-09-01T01:30:00Z","2025-09-01T07:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.6,"ppb","2025-09-01T01:45:00Z","2025-09-01T07:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.58,"ppb","2025-09-01T02:00:00Z","2025-09-01T07:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.52,"ppb","2025-09-01T02:15:00Z","2025-09-01T07:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.61,"ppb","2025-09-01T02:30:00Z","2025-09-01T08:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.43,"ppb","2025-09-01T02:45:00Z","2025-09-01T08:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.49,"ppb","2025-09-01T03:00:00Z","2025-09-01T08:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.52,"ppb","2025-09-01T03:15:00Z","2025-09-01T08:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.58,"ppb","2025-09-01T03:30:00Z","2025-09-01T09:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.75,"ppb","2025-09-01T04:00:00Z","2025-09-01T09:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.57,"ppb","2025-09-01T05:00:00Z","2025-09-01T10:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.58,"ppb","2025-09-01T05:15:00Z","2025-09-01T10:45:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.77,"ppb","2025-09-01T05:30:00Z","2025-09-01T11:00:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.61,"ppb","2025-09-01T05:45:00Z","2025-09-01T11:15:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
3409448,"Ratandeep Housing Society, Solapur - MPCB","co",0.54,"ppb","2025-09-01T06:00:00Z","2025-09-01T11:30:00+05:30","Asia/Kolkata",17.65439,75.90649,,,,"Maharashtra Pollution Control Board","CPCB"
